userName,score,at,content
FANI RIZKI MAULIDAH,5,2026-05-05 09:20:41,tolong saya enggak bisa lagi ambil nomer antrian online di faskes tingkat lanjut lagi sekarang
Fakih Sb,5,2026-05-05 09:19:24,baik
nurdian dian,5,2026-05-05 09:12:15,terimakasih atas pelayanan yang baik
Sitti Hajar,5,2026-05-05 09:04:26,sangat membantu dan mudah untuk dipakai
Nur Yadi,4,2026-05-05 09:03:38,baik
Muhamad Sulhi,5,2026-05-05 09:00:55,ok
irwan s,4,2026-05-05 09:00:19,Sangat bermanfaat.
Yhundha Maryati,5,2026-05-05 08:59:27,best
365 degree channel,1,2026-05-05 08:50:16,udah daftar online k rumah sakit bisa.pas k rs mau buka aplikasinya malah gag bisa tulisannya nik salah.padahal registrasi ama mau log in liat ktp fisik biar gag salah malah gag bisa katanya tulisannya salah.ngapain ribet2 pake nik kalo malah gag bisa masuk.gag jelas aplikasinya
Cimucuk Cimucuk,1,2026-05-05 08:46:18,"aplikasi bodong, minta kode verifikasi otp ga masuk"" tu kodenya dan ga ada solusi mau dari Pandawa call center ini yg jalanin aplikasi kayaknya bot"
satriapinasty nayaraniswara,1,2026-05-05 08:43:32,APLIKASI GAK GUNA! Gak mempermudah malah mempersulit. Mau ambil antrean kontrol poli aja pake aplikasi gak jelas. Registrasi ribet. Pengembang aplikasi gak kompeten jadinya ya gini. Pokok yang berbau Pemerintah Indonesia pasti ribet dan gak jelas.
